run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q01,RESP_FINLANDIA_Q01_20260912T142441Z,Q01,finlandia,2026-09-12T14:24:52.888630+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,2
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q02,RESP_FINLANDIA_Q02_20260912T142441Z,Q02,finlandia,2026-09-12T14:25:00.318832+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,1
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q03,RESP_FINLANDIA_Q03_20260912T142441Z,Q03,finlandia,2026-09-12T14:25:05.116466+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,1
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q04,RESP_FINLANDIA_Q04_20260912T142441Z,Q04,finlandia,2026-09-12T14:25:12.205580+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q05,RESP_FINLANDIA_Q05_20260912T142441Z,Q05,finlandia,2026-09-12T14:25:17.326353+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,1
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q06,RESP_FINLANDIA_Q06_20260912T142441Z,Q06,finlandia,2026-09-12T14:25:24.115411+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,2
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q07,RESP_FINLANDIA_Q07_20260912T142441Z,Q07,finlandia,2026-09-12T14:25:30.558992+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,3
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q08,RESP_FINLANDIA_Q08_20260912T142441Z,Q08,finlandia,2026-09-12T14:25:37.834565+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,2
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q09,RESP_FINLANDIA_Q09_20260912T142441Z,Q09,finlandia,2026-09-12T14:25:44.023413+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,2
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q10,RESP_FINLANDIA_Q10_20260912T142441Z,Q10,finlandia,2026-09-12T14:25:56.270385+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,3
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q11,RESP_FINLANDIA_Q11_20260912T142441Z,Q11,finlandia,2026-09-12T14:26:00.553280+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,1
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q12,RESP_FINLANDIA_Q12_20260912T142441Z,Q12,finlandia,2026-09-12T14:26:09.093519+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q13,RESP_FINLANDIA_Q13_20260912T142441Z,Q13,finlandia,2026-09-12T14:26:21.456954+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,2
