run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q01,RESP_CANADA_Q01_20260912T141201Z,Q01,canada,2026-09-12T14:12:14.550902+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,2
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q02,RESP_CANADA_Q02_20260912T141201Z,Q02,canada,2026-09-12T14:12:23.518354+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,1
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q03,RESP_CANADA_Q03_20260912T141201Z,Q03,canada,2026-09-12T14:12:33.959903+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,0
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q04,RESP_CANADA_Q04_20260912T141201Z,Q04,canada,2026-09-12T14:12:40.414440+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q05,RESP_CANADA_Q05_20260912T141201Z,Q05,canada,2026-09-12T14:12:47.269682+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,1
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q06,RESP_CANADA_Q06_20260912T141201Z,Q06,canada,2026-09-12T14:12:59.453826+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,3
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q07,RESP_CANADA_Q07_20260912T141201Z,Q07,canada,2026-09-12T14:13:06.883401+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,3
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q08,RESP_CANADA_Q08_20260912T141201Z,Q08,canada,2026-09-12T14:13:12.360106+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,1
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q09,RESP_CANADA_Q09_20260912T141201Z,Q09,canada,2026-09-12T14:13:21.986070+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,3
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q10,RESP_CANADA_Q10_20260912T141201Z,Q10,canada,2026-09-12T14:13:30.026631+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,3
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q11,RESP_CANADA_Q11_20260912T141201Z,Q11,canada,2026-09-12T14:13:35.607210+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,2
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q12,RESP_CANADA_Q12_20260912T141201Z,Q12,canada,2026-09-12T14:13:43.178600+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q13,RESP_CANADA_Q13_20260912T141201Z,Q13,canada,2026-09-12T14:13:50.765437+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,3
